apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Juninho,América-MG,Meia,3.97,0.7,-1.03,0.7,1,1
Zé Rafael ,Palmeiras,Meia,5.71,0.2,-2.29,0.2,1,1
Raphael Veiga,Palmeiras,Meia,12.53,3.0,-2.47,3.0,1,1
Wagner,Juventude,Meia,5.0,0.0,0.0,0.0,1,0
Benítez,São Paulo,Meia,9.0,0.0,0.0,0.0,1,0
Patrick,Internacional,Meia,9.54,-0.3,-4.46,-0.3,1,1
Juninho Valoura,América-MG,Meia,7.0,0.0,0.0,0.0,1,0
Alê,América-MG,Meia,3.06,1.4,0.06,1.4,1,1
Bruno Nazário,América-MG,Meia,6.34,3.1,0.34,3.1,1,1
Thiago Neves,Sport,Meia,13.71,9.7,3.71,9.7,1,1
Gustavo Scarpa,Palmeiras,Meia,7.87,3.3,-0.13,3.3,1,1
Fernando Canesin,Athlético-PR,Meia,5.0,0.0,0.0,0.0,1,0
Ramon,América-MG,Meia,2.85,1.1,-0.15,1.1,1,1
Jadson,Athlético-PR,Meia,3.06,-0.6,-1.94,-0.6,1,1
Geovane,América-MG,Meia,1.04,-0.5,-0.96,-0.5,1,1
Léo Cittadini,Athlético-PR,Meia,5.57,0.0,-2.43,0.0,1,1
Baralhas,Atlético-GO,Meia,2.09,0.0,-0.91,0.0,1,1
Lucas Gabriel,América-MG,Meia,1.0,0.0,0.0,0.0,1,0
Victor Paraíba,Atlético-GO,Meia,2.0,0.0,0.0,0.0,1,0
Matheus Anjos,Athlético-PR,Meia,2.0,0.0,0.0,0.0,1,0
Gustavo,América-MG,Meia,2.0,0.0,0.0,0.0,1,0
Yan Sasse,América-MG,Meia,3.0,0.0,0.0,0.0,1,0
Thonny Anderson,Bahia,Meia,4.46,0.4,-1.54,0.4,1,1
Richard,Athlético-PR,Meia,1.6,-2.7,-3.4,-2.7,1,1
Franco,Atlético-MG,Meia,4.0,0.0,0.0,0.0,1,0
Zé Ricardo,América-MG,Meia,2.65,-1.2,-2.35,-1.2,1,1
Nikão,Athlético-PR,Meia,6.34,-1.9,-4.66,-1.9,1,1
Sabino,América-MG,Meia,3.0,0.0,0.0,0.0,1,0
Lucho González,Athlético-PR,Meia,5.0,0.0,0.0,0.0,1,0
Maicon,Grêmio,Meia,7.0,0.0,0.0,0.0,1,0
André Lima,Atlético-GO,Meia,1.0,0.0,0.0,0.0,1,0
Chico,Juventude,Meia,5.85,2.4,-0.15,2.4,1,1
Felipe Melo,Palmeiras,Meia,6.96,2.0,-1.04,2.0,1,1
Jair,Atlético-MG,Meia,7.0,0.0,0.0,0.0,1,0
Márcio Araújo,Sport,Meia,4.0,0.0,0.0,0.0,1,0
Borrero,Atlético-MG,Meia,2.0,0.0,0.0,0.0,1,0
Patrick de Lucca,Bahia,Meia,2.16,-1.9,-2.84,-1.9,1,1
Juan Ramírez,Bahia,Meia,8.0,0.0,0.0,0.0,1,0
Hyoran,Atlético-MG,Meia,6.54,0.4,-2.46,0.4,1,1
Tchê Tchê,Atlético-MG,Meia,8.22,1.8,-1.78,1.8,1,1
Calebe,Atlético-MG,Meia,3.0,0.0,0.0,0.0,1,0
Jonas,Bahia,Meia,2.72,-0.1,-1.28,-0.1,1,1
William,São Paulo,Meia,4.0,0.0,0.0,0.0,1,0
Hernanes,São Paulo,Meia,7.0,0.0,0.0,0.0,1,0
Nathan,Atlético-MG,Meia,4.18,0.0,-1.82,0.0,1,1
Liziero,São Paulo,Meia,3.97,-0.3,-2.03,-0.3,1,1
Luan,São Paulo,Meia,5.5,0.9,-1.5,0.9,1,1
Matheus Galdezani,Bahia,Meia,3.13,-0.5,-1.87,-0.5,1,1
Allan,Atlético-MG,Meia,4.18,-1.0,-2.82,-1.0,1,1
Rodrigo Nestor,São Paulo,Meia,5.0,0.0,0.0,0.0,1,0
Daniel,Bahia,Meia,7.24,6.4,3.24,6.4,1,1
Ricardo Ryller,Bragantino,Meia,4.04,-0.2,-1.96,-0.2,1,1
Igor Gomes,São Paulo,Meia,5.71,0.2,-2.29,0.2,1,1
Gabriel Sara,São Paulo,Meia,5.5,-1.1,-3.5,-1.1,1,1
Ramires,Bragantino,Meia,6.47,5.3,2.47,5.3,1,1
Lucas Evangelista,Bragantino,Meia,14.34,14.6,8.34,14.6,1,1
Zaracho,Atlético-MG,Meia,4.87,0.0,-2.13,0.0,1,1
Charles,Ceará,Meia,2.72,-1.1,-2.28,-1.1,1,1
Vitinho,Bragantino,Meia,4.0,0.0,0.0,0.0,1,0
Lima,Ceará,Meia,9.0,0.0,0.0,0.0,1,0
Fernando Sobral,Ceará,Meia,14.0,0.0,0.0,0.0,1,0
Jorginho,Ceará,Meia,9.89,10.2,5.89,10.2,1,1
Jadsom Silva,Bragantino,Meia,3.0,0.0,0.0,0.0,1,0
Felipe Baxola,Ceará,Meia,3.0,0.0,0.0,0.0,1,0
William Oliveira,Ceará,Meia,3.0,0.0,0.0,0.0,1,0
Pedro Naressi,Ceará,Meia,6.4,5.2,2.4,5.2,1,1
Fabinho,Ceará,Meia,6.0,0.0,0.0,0.0,1,0
Oliveira,Ceará,Meia,1.74,0.5,-0.26,0.5,1,1
Ronei,Chapecoense,Meia,4.32,4.2,2.32,4.2,1,1
Geovane,Ceará,Meia,1.0,0.0,0.0,0.0,1,0
Marlon,Ceará,Meia,4.0,0.0,0.0,0.0,1,0
Moisés Ribeiro,Chapecoense,Meia,2.3,-0.7,-1.7,-0.7,1,1
Léo Gomes,Chapecoense,Meia,3.0,0.0,0.0,0.0,1,0
Alan Santos,Chapecoense,Meia,3.0,0.0,0.0,0.0,1,0
Foguinho,Chapecoense,Meia,3.0,0.0,0.0,0.0,1,0
Tharlis,Chapecoense,Meia,2.0,0.0,0.0,0.0,1,0
Anderson Leite,Chapecoense,Meia,1.88,0.7,-0.12,0.7,1,1
Guedes,Chapecoense,Meia,2.0,0.0,0.0,0.0,1,0
Ravanelli,Chapecoense,Meia,4.11,1.9,0.11,1.9,1,1
Lima,Chapecoense,Meia,2.72,1.9,0.72,1.9,1,1
Christian,Athlético-PR,Meia,8.7,6.5,2.7,6.5,1,1
Hugo Moura,Flamengo,Meia,2.78,0.0,-1.22,0.0,1,1
Gomes,Flamengo,Meia,5.0,0.0,0.0,0.0,1,0
Richard Rios,Flamengo,Meia,2.0,0.0,0.0,0.0,1,0
Yago Felipe,Fluminense,Meia,4.59,0.6,-1.41,0.6,1,1
Wellington,Fluminense,Meia,2.78,0.0,-1.22,0.0,1,1
Hudson,Fluminense,Meia,5.0,0.0,0.0,0.0,1,0
Max,Flamengo,Meia,2.0,0.0,0.0,0.0,1,0
Thiago Maia,Flamengo,Meia,7.0,0.0,0.0,0.0,1,0
Camacho,Corinthians,Meia,3.97,0.7,-1.03,0.7,1,1
Gabriel,Corinthians,Meia,6.0,0.0,0.0,0.0,1,0
Xavier,Corinthians,Meia,3.0,0.0,0.0,0.0,1,0
Ganso,Fluminense,Meia,5.0,0.0,0.0,0.0,1,0
Araos,Corinthians,Meia,0.97,-2.6,-3.03,-2.6,1,1
Roni,Corinthians,Meia,3.69,2.3,0.69,2.3,1,1
Otero,Corinthians,Meia,8.0,0.0,0.0,0.0,1,0
Cantillo,Corinthians,Meia,4.39,0.3,-1.61,0.3,1,1
João Paulo,Atlético-GO,Meia,7.31,5.5,2.31,5.5,1,1
Miguel,Fluminense,Meia,3.0,0.0,0.0,0.0,1,0
Edenílson,Internacional,Meia,18.03,12.9,5.03,12.9,1,1
Willian Maranhão,Atlético-GO,Meia,4.32,2.2,0.32,2.2,1,1
Maurício,Internacional,Meia,3.83,1.5,-0.17,1.5,1,1
Matheus Oliveira,Atlético-GO,Meia,2.0,0.0,0.0,0.0,1,0
Yuri Lima,Cuiabá,Meia,3.0,0.0,0.0,0.0,1,0
Nonato,Internacional,Meia,2.3,-0.7,-1.7,-0.7,1,1
Lucas Ramos,Internacional,Meia,1.0,0.0,0.0,0.0,1,0
Johnny,Internacional,Meia,3.0,0.0,0.0,0.0,1,0
Praxedes,Internacional,Meia,5.36,0.7,-1.64,0.7,1,1
Danilo Barbosa,Palmeiras,Meia,4.0,0.0,0.0,0.0,1,0
Lucas Lima,Palmeiras,Meia,5.0,0.0,0.0,0.0,1,0
Martinelli,Fluminense,Meia,6.47,0.3,-2.53,0.3,1,1
Boschilia,Internacional,Meia,9.0,0.0,0.0,0.0,1,0
Patrick de Paula,Palmeiras,Meia,4.59,-0.4,-2.41,-0.4,1,1
Gabriel Menino,Palmeiras,Meia,12.95,7.6,1.95,7.6,1,1
Rafael Gava,Cuiabá,Meia,3.76,1.4,-0.24,1.4,1,1
Danilo,Palmeiras,Meia,5.85,1.4,-1.15,1.4,1,1
Jean Pyerre,Grêmio,Meia,6.96,1.0,-2.04,1.0,1,1
Patrick,Grêmio,Meia,3.0,0.0,0.0,0.0,1,0
Matheus Henrique,Grêmio,Meia,10.37,6.9,2.37,6.9,1,1
Camilo,Cuiabá,Meia,4.39,3.3,1.39,3.3,1,1
Uillian Correia,Cuiabá,Meia,4.0,0.0,0.0,0.0,1,0
Pinares,Grêmio,Meia,5.0,0.0,0.0,0.0,1,0
Auremir,Cuiabá,Meia,4.0,0.0,0.0,0.0,1,0
Rodrigo Dourado,Internacional,Meia,7.0,0.0,0.0,0.0,1,0
Darlan,Grêmio,Meia,4.0,0.0,0.0,0.0,1,0
Rodrigo Lindoso,Internacional,Meia,9.61,8.8,4.61,8.8,1,1
Rodriguinho,Bahia,Meia,5.92,-1.5,-4.08,-1.5,1,1
